0.012409	7085	5414.99
0.01685	7085	5452.13
0.021343	6641	5452.13
0.025343	6641	5480.25
0.051353	6641	5512.3
0.066923	6435	5512.3
0.078645	6334	5512.3
0.481131	6133	5512.3
0.540517	6115	5512.3
0.698486	6115	5562.08
1.73635	6115	5647.43
2.04852	6115	5647.91
2.46693	6032	5647.91
2.71612	6019	5647.91
3.80132	6019	5659.4
4.36443	6019	5690.26
4.69819	6019	5697.38
4.77832	6019	5699.22
4.85866	6019	5703.43
4.90904	6019	5819.25
5.03181	6019	5837.38
5.04756	6019	5837.83
5.09091	6019	5844.93
5.12981	6019	5852.38
5.17644	6019	5852.83
5.21462	6019	5913.67
5.22785	6019	5918.56
5.2531	6019	5918.67
5.27227	6019	5999.31
5.27865	6019	6014.33
5.28399	6019	6019
